央视频道,#genre#
CCTV-1,http://121.21.84.3:8888/rtp/239.253.92.83:8012$1920x1080
CCTV-1,http://61.55.46.35:4022/rtp/239.253.92.83:8012$1920x1080
CCTV-1,http://120.6.7.108:4022/rtp/239.253.92.83:8012$1920x1080
CCTV-2,http://60.7.56.33:4000/rtp/239.253.92.190:6065$1920x1080
CCTV-2,http://61.55.46.35:4022/rtp/239.253.92.190:6065$1920x1080
CCTV-2,http://121.21.84.3:8888/rtp/239.253.92.190:6065$1920x1080
CCTV-2,http://120.6.7.108:4022/rtp/239.253.92.190:6065$1920x1080
CCTV-3,http://61.55.46.35:4022/rtp/239.253.92.191:6057$1920x1080
CCTV-3,http://121.21.84.3:8888/rtp/239.253.92.191:6057$1920x1080
CCTV-3,http://120.6.7.108:4022/rtp/239.253.92.191:6057$1920x1080
CCTV-3,http://61.55.13.136:4000/rtp/239.253.92.191:6057
CCTV-4,http://61.55.13.136:4000/rtp/239.253.92.251:6141$1920x1080
CCTV-4,http://61.55.46.35:4022/rtp/239.253.92.251:6141$1920x1080
CCTV-5,http://61.55.13.136:4000/rtp/239.253.92.181:6046$1920x1080
CCTV-5,http://61.55.46.35:4022/rtp/239.253.92.181:6046$1920x1080
CCTV-5,http://121.21.84.3:8888/rtp/239.253.92.181:6046$1920x1080
CCTV-5,http://120.6.7.108:4022/rtp/239.253.92.181:6046$1920x1080
CCTV-5+,http://60.7.56.33:4000/rtp/239.253.92.82:8013$1920x1080
CCTV-5+,http://61.55.46.35:4022/rtp/239.253.92.82:8013$1920x1080
CCTV-5+,http://121.21.84.3:8888/rtp/239.253.92.82:8013$1920x1080
CCTV-5+,http://120.6.7.108:4022/rtp/239.253.92.82:8013$1920x1080
CCTV-6,http://61.55.13.136:4000/rtp/239.253.92.193:6058$1920x1080
CCTV-6,http://61.55.46.35:4022/rtp/239.253.92.193:6058$1920x1080
CCTV-6,http://60.7.56.33:4000/rtp/239.253.92.193:6058$1920x1080
CCTV-6,http://121.21.84.3:8888/rtp/239.253.92.193:6058$1920x1080
CCTV-6,http://120.6.7.108:4022/rtp/239.253.92.193:6058$1920x1080
CCTV-7,http://61.55.13.136:4000/rtp/239.253.92.194:6059$1920x1080
CCTV-7,http://60.7.56.33:4000/rtp/239.253.92.194:6059$1920x1080
CCTV-7,http://61.55.46.35:4022/rtp/239.253.92.194:6059$1920x1080
CCTV-7,http://121.21.84.3:8888/rtp/239.253.92.194:6059$1920x1080
CCTV-7,http://120.6.7.108:4022/rtp/239.253.92.194:6059$1920x1080
CCTV-8,http://60.7.56.33:4000/rtp/239.253.92.195:6060$1920x1080
CCTV-8,http://61.55.46.35:4022/rtp/239.253.92.195:6060$1920x1080
CCTV-8,http://121.21.84.3:8888/rtp/239.253.92.195:6060$1920x1080
CCTV-8,http://120.6.7.108:4022/rtp/239.253.92.195:6060$1920x1080
CCTV-8,http://61.55.13.136:4000/rtp/239.253.92.195:6060
CCTV-9,http://61.55.13.136:4000/rtp/239.253.92.107:6020$1920x1080
CCTV-9,http://61.55.46.35:4022/rtp/239.253.92.107:6020$1920x1080
CCTV-9,http://121.21.84.3:8888/rtp/239.253.92.107:6020$1920x1080
CCTV-9,http://120.6.7.108:4022/rtp/239.253.92.107:6020$1920x1080
CCTV-10,http://61.55.46.35:4022/rtp/239.253.92.196:6061$1920x1080
CCTV-10,http://121.21.84.3:8888/rtp/239.253.92.196:6061$1920x1080
CCTV-10,http://120.6.7.108:4022/rtp/239.253.92.196:6061$1920x1080
CCTV-11,http://61.55.46.35:4022/rtp/239.253.93.153:6321$1920x1080
CCTV-11,http://120.6.7.108:4022/rtp/239.253.93.153:6321$1920x1080
CCTV-12,http://61.55.13.136:4000/rtp/239.253.92.197:6062$1920x1080
CCTV-12,http://61.55.46.35:4022/rtp/239.253.92.197:6062$1920x1080
CCTV-12,http://121.21.84.3:8888/rtp/239.253.92.197:6062$1920x1080
CCTV-13,http://61.55.46.35:4022/rtp/239.253.92.13:8008$1920x1080
CCTV-13,http://61.55.13.136:4000/rtp/239.253.92.13:8008$1920x1080
CCTV-13,http://121.21.84.3:8888/rtp/239.253.92.13:8008$1920x1080
CCTV-14,http://61.55.13.136:4000/rtp/239.253.92.198:6063$1920x1080
CCTV-14,http://61.55.46.35:4022/rtp/239.253.92.198:6063$1920x1080
CCTV-14,http://120.6.7.108:4022/rtp/239.253.92.198:6063$1920x1080
CCTV-15,http://61.55.13.136:4000/rtp/239.253.93.154:6322$1920x1080
CCTV-15,http://61.55.46.35:4022/rtp/239.253.93.154:6322$1920x1080
CCTV-15,http://121.21.84.3:8888/rtp/239.253.93.154:6322$1920x1080
CCTV-15,http://120.6.7.108:4022/rtp/239.253.93.154:6322$1920x1080
CCTV-17,http://61.55.13.136:4000/rtp/239.253.93.150:6318$1920x1080
CCTV-17,http://61.55.46.35:4022/rtp/239.253.93.150:6318$1920x1080
CCTV-17,http://121.21.84.3:8888/rtp/239.253.93.150:6318$1920x1080
CCTV-17,http://120.6.7.108:4022/rtp/239.253.93.150:6318$1920x1080
卫视频道,#genre#
广东卫视,http://61.55.13.136:4000/rtp/239.253.92.206:8108$1920x1080
广东卫视,http://61.55.46.35:4022/rtp/239.253.92.206:8108$1920x1080
广东卫视,http://121.21.84.3:8888/rtp/239.253.92.206:8108$1920x1080
